"createNewCompanyAccount","Create New Company Account"
"resellerCertificate","Reseller Certificate"
"storeRegisterationFailed_KindlyTryAgain","Something went wrong. Kindly validate and try submit again."
"confirmationEmailMessage","You must confirm your account. Please check your email for the confirmation link or <a href='%1'>click here</a> for a new link."
"confirmationEmailAlreadySendMessage","There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account."
"street1","Street Address 1"
"street2","Street Address 2"
"uploadFileTooLarge","The certificate file-size has to be less than or equal to %1MB"
"uploadFileExtensionInvalid","The certificate file-extension has to be one of the following [%1]"
"uploadFileOtherError","File upload failed, please validate file size is less than or equal to %1MB and of file extension %2"
"addNewCompanyUser","Add New Company (or) User"
"noAccountFound","No account associated with %1 found"
"resetCompanyPasswordNotAllowed","Cannot reset password for a company account type"
"noCompanyAssociatedWithNavId = '%1'","There is no company associated with Nav ID = '%1'"