"My Account","My Profile"
"signIn","Login / Sign Up"
"signOut","Logout"
"myCart","My Cart"
"newsletter","Newsletter"
"newsletterSignUp","Sign Up for Our Newsletter:"
"yourEmail","Your Email"
"subscribe","Subscribe"
"toggleNav","Toggle Nav"
"Shop By", "Filter"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","You will receive an email to %1 with a link to reset your password"
"CasePrice", "Case Price"
"Be the first to review this product", "Write a Review"
"checkoutNext", "Continue"